Dialogue ID,Chapter ID,Character ID,Dialogue
476,19,1,That explains the blood
477,19,3,Blood?
481,19,3,So you're saying
482,19,1,That's what the dog's guarding That's what Snape wants
511,20,1,Whoa Whooa
512,20,5,What's going on with Harry's broomstick?
513,20,3,It's Snape He's jinxing the broom
514,20,2,Jinxing the broom? What do we do?
515,20,3,Leave it to me
516,20,2,Come on Hermione
517,20,3,Lacarnum Inflamarae
518,20,139,Fire You're on fire
529,21,5,Nonsense Why would Snape put a curse on Harry's broom?
530,21,1,Who knows? Why was he trying to get past that three-headed dog on Halloween?
531,21,5,Who told you about Fluffy?
532,21,2,Fluffy?
533,21,3,That thing has a name?
574,22,1,Famous fire eaters15th Century FiendsFlamelNicholas Flamelwhere are you?
575,22,35,Who's there?  I know you're in there You can't hide  Who is it? Show yourself
576,22,41,SeverusI-I thought
577,22,6,You don't want me as your enemy Quirrell
578,22,41,W-what do you m-mean?
579,22,6,You know perfectly well what I mean  We'll have another chat soonwhen you've had time to decide where your loyalties lie
580,22,35,Oh Professors I found this in the Restricted Section It's still hot That means there's a student out of bed
581,23,1,Mum?  Dad?
582,23,1,Ron You've really got to see this Ron You've got to see this  Ron Ron come on Get out of bed
583,23,2,Why?
584,23,1,There's something you've got to see Now come on
585,23,1,Come on Come Come look it's my parents
586,23,2,I only see me
587,23,1,Look in properly Go on Stand there There You see them don't you? Thats my dad
599,24,1,Hi Hedwig
600,24,3,Look at you playing with your cards Pathetic We've got final exams coming up soon
601,24,2,I'm ready Ask me any question
602,24,3,All right what are the three most crucial ingredients in a Forgetfulness Potion?
603,24,2,I forgot
604,24,3,And what may I ask do you plan to do if this comes up in the final exam?
605,24,2,Copy off you?
606,24,3,No you won't Besides according to Professor McGonagall we're to be given special quills bewitched with an anti-cheating spell
680,25,2,Okay
681,25,5,And Harry you'll go with Malfoy
682,25,12,Okay Then I get Fang
683,25,5,Fine Just so you know he's a bloody coward
684,25,12,You wait till my father hears about this This is servant's stuff
685,25,1,If I didn't know better Draco I'd say you were scared
686,25,12,Scared Potter?  Did you hear that? Come on Fang Scared
687,25,1,What is it Fang?
688,25,12,HELP
700,26,3,You mean You-Know-Who's out there right now in the forest?
701,26,1,But he's weak He's living off the unicorns Don't you see
702,26,2,But if he comes back you don't think he'll try to kill you do you?
703,26,1,I think if he'd had the chance he might've tried to kill me tonight
704,26,2,And to think I've been worrying about my Potions final
705,26,3,Hang on a minute  We're forgetting one thing Who's the one wizard Voldemort always feared? Dumbledore 
707,27,2,Speak for yourself All right there Harry?
708,27,1,My scar It keeps burning
709,27,3,It's happened before
710,27,1,Not like this
711,27,2,Perhaps you should see the nurse
801,28,3,I don't like this I don't like this at all
802,28,1,Where are we? A graveyard
803,28,2,This is no graveyard  It's a chessboard
804,28,1,There's the door
805,28,3,Now what do we do?
812,29,1,Wait a minute
814,29,1,No Ron No
815,29,3,What is it?
816,29,1,He's going to sacrifice himself
817,29,3,No Ron you can't  There must be another way
819,29,2,Check
820,29,2,Ahhhh
825,30,1,You?  No I-it can't be Snape h-he was the one--
827,30,1,But-but that day during the Quidditch match Snape tried to kill me
829,30,1,Snape was trying to save me?
830,30,41,I knew you were a danger to me right from the off Especially after Halloween
831,30,1,Then-then you let the troll in
833,30,9,Use the boy
844,31,9,Stop him  Don't be a fool Why suffer a horrific death when you can join me and live?
845,31,1,Never
847,31,1,You liar
848,31,9,Kill him
849,31,41,Ahh Ahh  What is this magic?
850,31,9,Fool Get the stone
851,32,4,Good afternoon Harry Ah Tokens from your admirers?
852,32,1,Admirers?
854,32,1,Ron was here? Is he all right? What about Hermione?
855,32,4,Fine They're both just fine
856,32,1,But what happened to the Stone?
858,32,1,But Flamel he'll die won't he?
859,32,4,He has enough Elixir to set his affairs in order But yes he will die
871,33,3,We're tied with Slytherin
873,33,5,Yes
874,33,29,Neville
875,33,52,Yeah We won
876,34,5,Come on now hurry up You'll be late Train's leaving Go on Go on Come on Hurry up
877,34,3,Come on Harry
878,34,1,One minute
879,34,5,Thought you were leaving without saying good-bye didja?  This is for you
880,34,1,Thanks Hagrid
882,34,1,But Hagrid we're not allowed to do magic away from Hogwarts You know that
883,34,5,I do But your cousin don't do he? Eh?  Off you go
884,34,3,Feels strange to be going home doesn't it?
885,34,1,I'm not going home Not really
887,35,21,Harry Potter
888,35,1,Now you've done it
889,35,32,He's in there Vernon
890,35,21,I'm warning you if you can't control that bloody bird it'll have to go
891,35,1,But she's bored If I could only let outonly let out for an hour or two
904,36,21,Mr and Mrs Mason Do come in
905,36,27,Ha- ha- ha Ha ha Ho ho ho Ha ha Harry Potter Such an honor it is
906,36,1,Who are you?
907,36,27,Dobby sir Dobby the house elf
910,36,1,Why don't you sit down?
952,36,27,Then Dobby must do it sir for Harry Potter's own good
954,36,21,I'm so sorry It's my nephew- he's very disturbed Meeting strangers upsets him That's why I kept him upstairs
957,37,2,Rescuing you of course Now come on Get your trunk
958,37,2,You'd better stand back Let's go
959,37,32,Oh
960,37,21,Now what the hell's he doing? Potter
961,37,31,Dad What's going on?
962,37,19,Go go go go
963,37,31,Dad hurry up
964,37,2,Come on
965,37,14,Come on
966,37,2,Come on Harry Hurry up
967,37,21,Petunia he's escaping
968,37,1,Ahh- ahh
969,37,2,I've got you Harry
982,38,14,Come on Okay come on Shh Shh Ok come on Shh Come on
983,38,2,Do you think it'd be all right if we had some of this?
984,38,19,Yeah Mum would never know
985,38,2,It's not much but it's home
986,38,1,I think it's brilliant
990,38,20,Mum- Mummy have you seen my jumper?
991,38,26,Yes dear It was on the cat
992,38,1,Hello W-what did I do?
1022,39,26,Right Here we are Harry you go first dear
1023,39,2,But Harry's never traveled by Floo powder before Mum
1024,39,1,Floo powder?
1025,39,26,Oh well you go first Ron so that Harry can see how it's done Yes In you go That's it
1026,39,2,Diagon Alley
1028,39,1,Diaganilly'
1029,39,26,What did he say dear?
1030,39,16,Diaganilly'
1053,40,126,Harry Harry Potter
1054,40,26,Oh Harry Thank goodness We'd hoped you'd only gone one grate too far
1055,40,126,Ladies and gentlemen Mr Gilderoy Lockhart
1056,40,26,Ah Here he is
1057,40,2,Mum fancies him
1079,41,26,The train will be leaving any moment
1080,41,16,Fred George Percy you first
1081,41,26,Okay
1082,41,16,After you dear
1083,41,26,Come on Ginny we'll get you a seat Hurry
1084,41,1,Let's go
1085,41,1,Aah
1086,41,2,Whao
1111,42,2,Welcome home
1112,42,1,Up Up
1113,42,2,It's not working Ahhhh
1114,42,1,Up Up Ron Mind that tree
1115,42,2,Stop Stop Stop Huh Aahh
1116,42,1,Ahh
1117,42,2,Ahh-ha-ha My wand Look at my wand
1118,42,1,Be thankful it's not your neck
1134,43,2,Honestly Professor Snape I think it did more damage to us
1136,43,4,They are not
1137,43,1,Professor Dumbledore Professor McGonagall
1140,43,2,We'll go and get our stuff then
1141,43,7,What are you talking about Mr Weasley?
1142,43,2,You're going to expel us aren't you?
1144,44,79,Morning everyone Good morning everyone
1145,44,136,Good morning Professor Sprout
1149,44,136,Aah Ooh
1150,44,79,Uhh
1151,44,10,Uh Longbottom's been neglecting his earmuffs
1152,44,79,No ma'am he's just fainted
1154,44,79,There's Nearly-Headless-Nick
1155,44,126,Hello Percy Miss Clearwater
1168,45,28,Cornish pixies?
1169,45,29,Freshly caught Cornish pixies
1170,45,28,Ha ha Ha ha ha
1172,45,28,Just stay there
1173,45,142,Ah Aaah Aaah Aah- aah
1174,45,10,Hey get me down
1175,45,10,Get off me
1176,45,3,Stop Stop Hold still
1186,46,46,Quidditch practice
1187,46,82,I booked the pitch for Gryffindor today
1188,46,46,Easy Wood I've got a note
1189,46,82,Uh-oh I smell trouble
1191,46,46,Malfoy?
1232,47,86,Harry
1233,47,3,Did you hear it?
1234,47,1,Hear what?
1235,47,2,That voice
1236,47,1,Voice? What voice?
1237,47,3,I heard it first in Lockhart's office And then again just-
1238,47,1,It's time
1239,47,86,It's moving I think it's going to kill
1276,48,7,Ahem Vera verto
1277,48,2,Ha ha ha ha ha
1278,48,127,That wand needs replacing Mr Weasley Yes Miss Granger?
1279,48,7,Professor I was wondering if you could tell us aboutthe Chamber of Secrets?
1281,48,7,Three guesses who
1283,48,7,Muggle-borns
1299,49,3,Do you mean if Harry and I drink that stuff we'll turn into Crabbe and Goyle?
1300,49,2,Yes
1301,49,3,Wicked Malfoy'll tell us anything
1302,49,2,Exactly But it's tricky I've never seen a more complicated potion
1303,49,3,Well how long will it take to make?
1304,49,1,A month
1322,50,1,Are you okay?
1323,50,3,No I think my- I think my arm's broken
1324,50,1,Not to worry Harry I will fix that arm of yours straight away
1325,50,28,No not you
1326,50,1,Oh poor boy doesn't know what he's saying Now this won't hurt a bit Brackium emendo
1327,50,28,Oh Ooh Ugh
1328,50,127,Ah yes well ha that can sometimes happen um butuh the point is uh
1374,51,3,Why?
1375,51,2,Moaning Myrtle
1376,51,3,Who?
1377,51,2,Moaning Myrtle
1378,51,3,Who's Moaning Myrtle?
1401,52,28,Serpensortia
1402,52,12,Don't move Potter I'll get rid of it for you
1403,52,6,Allow me Professor Snape Alarte ascendare
1404,52,28,Sya- hassa- she Sya- hasi- heth Sya- hasi- heth
1405,52,1,Vipera evanesca
1406,52,6,What are you playing at?
1407,52,109,You're a Parselmouth? Why didn't you tell us?
1424,53,35,No Mr Filch Y-you- you don't understand
1425,53,1,Oh
1426,53,7,Professor I swear I didn't
1427,53,1,This is out of my hands Potter
1428,53,7,Professor Dumbledore will be waiting for you Sherbet lemon
1450,54,3,Crabbe and Goyle
1452,54,3,How?
1454,54,3,Whose hair are you ripping out then?
1456,54,3,Ahem
1457,54,2,Ron maybe I should do it?
1458,54,1,Yeah Right
1459,54,2,Wingardium leviosa Here they come
1460,54,1,It's good right? Ah Cool
1483,55,1,Okay
1484,55,2,Excuse me
1487,55,37,Uhh
1488,55,2,I'm
1490,55,12,Ah- um Reading
1491,55,1,Reading?
1492,55,12,Uh-huh
1493,55,1,I didn't know you could read And what are you doing down here Weasley?
1494,55,12,Mind your attitude Malfoy
1519,56,2,She should be out of hospital in a few days when she stops coughing up fur balls What's this?
1520,56,1,Yuck
1521,56,2,Looks like Moaning Myrtle's flooded the bathroom
1527,56,39,But who threw it at you anyway?
1529,56,39,Tom Marvolo Riddle'
1530,56,1,My name is Harry Potter'
1531,56,1,Hello Harry Potter my name is Tom Riddle
1537,57,1,Riddle Come
1538,57,4,Professor Dumbledore
1539,57,24,Dumbledore?
1540,57,1,It is not wise to be wandering around this late hour Tom
1541,57,4,Yes Professor I- I suppose I- I had to see for myself if the rumors were true
1571,58,5,No
1572,58,1,No
1573,58,2,No
1596,59,5,What's that for?
1598,59,5,Hagrid are you okay?
1599,59,1,I'm fine I'm alright
1600,59,5,Did you hear about Hermione?
1601,59,1,Oh yeah I heard about that all righ'
1610,59,4,Albus look Hagrid's record is against him I've got to take him
1611,59,17,Take me? Take me where? Not Azkaban Prison?
1612,59,5,I'm afraid we have no choice Hagrid
1613,59,17,Already here Fudge? Good
1614,59,23,What're you doin' here? Get outta my house
1628,60,2,You heard what Hagrid said; 'Follow the spiders'
1630,60,2,Harry I don't like this Harry I don't like this at all
1631,60,2,Shush
1632,60,1,Can we go back now?
1633,60,2,Come on
1634,60,1,Who is it?
1635,60,68,Don't panic
1653,61,68,Can we panic now?
1654,61,2,Know any spells?
1655,61,2,One but it's not powerful enough for all of them
1656,61,1,Where's Hermione when you need her?
1657,61,2,Let's go Arania exumai Go
1658,61,1,Whoah
1673,62,1,What's that?
1681,62,2,Hermione's answered that too
1682,62,1,Pipes? It's using the plumbing
1684,62,1,Moaning Myrtle
1687,62,7,So sorry- dozed off- what have I missed?
1688,62,28,A girl has been snatched by the monster Lockhart Your moment has come at last
1689,62,6,My m-moment?
1699,63,28,What about my sister?
1700,63,2,Well um- as to that most unfortunate No one regrets more than I
1701,63,28,You're the Defense Against the Dark Arts teacher You can't go now
1702,63,2,Well- I must say- when I took the job there was nothing in the job description about a
1703,63,28,You're running away? After all that stuff you did in your books?
1704,63,1,Books can be misleading
1705,63,28,You wrote them
1708,63,1,Is there anything you can do?
1735,64,1,What's this?
1736,64,2,It looks like a snake
1737,64,28,It's a snakeskin
1740,64,28,Harry Harry
1741,64,2,Ron Ron are you ok?
1742,64,1,I'm fine
1748,64,28,No
1749,64,2,Really? Well?
1750,64,28,What'll do I do now?
1755,65,1,She won't wake
1756,65,24,Tom Tom Riddle What do you mean 'she won't wake?' She's not?
1757,65,1,She's still alive but only just
1758,65,24,Are you a ghost?
1759,65,1,A memory preserved in a diary for fifty years
1787,66,24,No Your bird may have blinded the basilisk but it can still hear you
1788,66,24,Yes Potter the process is nearly complete
1789,66,24,Ginny-
1790,66,1,Remarkable isn't it how quickly the venom of the basilisk penetrates the body
1791,67,24,Ginny
1792,67,1,Harry It was me- but I swear I didn't mean to Riddle made me and Harry you're hurt
1794,67,1,Amazing This is just like magic
1798,68,2,And there is sufficient evidence to have you both expelled
1801,68,2,Therefore it is only fitting that you both receive Special Awards for Services to the School
1802,68,4,Thanks sir
1807,68,1,Not intentionally but yes
1808,68,4,So the Sorting Hat was right I should be in Slytherin
1815,69,1,Um-humm
1816,69,27,I'll deal with you later Out of my way Potter So it's true-- you have returned
1818,69,4,Ridiculous
1820,69,4,How dare you?
1821,69,23,I beg your pardon?
1823,69,23,Oh yes
1824,69,4,And? Who was it?
1825,69,23,Voldemort
1826,69,4,Ah
1853,70,126,Thank you
1854,70,47,Good evening Sir Nicholas
1855,70,126,Good evening
1856,70,47,Good to see you Sir Nicholas
1857,70,126,Thank you Hello Hermione Welcome back
1858,70,47,Thanks Sir Nicholas
1859,70,3,Harry- it's Hermione
1860,70,10,Uhh-um Welcome back Hermione
1872,71,1,Harry Harry Harry open the door Marge How lovely to see
1873,72,32,Uncle Vernon I need you to sign this form
1874,72,1,What is it?
1875,72,21,Nothing School stuff
1876,72,1,Later perhaps if you behave
1877,72,21,I will if she does
1878,72,1,Oh you're still here are you?
1879,72,60,Yes
1911,73,58,I fell over
1912,73,1,What you fall over for?
1913,73,58,I didn't do it on purpose
1914,73,1,Well come on then Let's not wait for the grass to grow What you looking at?
1915,73,58,Nothing
1935,74,92,Take it away Ern
1936,74,58,Yeah take it away Ernie
1937,74,133,: Room 11
1938,74,92,Hedwig
1939,74,1,: Right smart bird you got there Mr Potter He arrived here just five minutes before yourself
1941,74,17,: Pea soup?
1942,74,92,No thank you Minister?
1943,74,1,Yes?
1956,75,2,It's a cat Ronald What do you expect? It's in his nature
1957,75,3,A cat? Is that what they told you? Looks more like a pig with hair
1959,75,3,Harry
1960,75,2,Harry
1961,75,3,Egypt What's it like?
1962,75,1,Brilliant Loads of old stuff like mummies tombs even Scabbers enjoyed himself
1963,75,2,You know the Egyptians used to worship cats?
1964,75,3,Along with the dung beetle
1965,75,2,Not flashing that clipping again are you Ron?
1966,75,14,Not flashing that clipping again are you Ron?
2003,76,26,I didn't mean to blow her up I just I lost control
2004,76,1,Brilliant
2005,76,2,Honestly Ron it's not funny Harry was lucky not to be expelled
2006,76,3,I think I was lucky not to be arrested actually
2007,76,1,I still think it was brilliant
2008,76,2,Come on Everywhere else is full
2009,76,3,Who do you think that is?
2040,77,4,Of course That's why he knew to give you the chocolate Harry
2041,77,3,Potter Is it true you fainted? I mean you actually fainted?
2042,77,12,Shove off Malfoy
2043,77,2,How did he find out?
2044,77,1,Just forget it
2046,77,4,Fortuna Major Here listen She just won't let me in Fortuna Major
2047,77,29,No no no Wait wait Watch this Oh amazing Just with my voice
2048,77,141,Fortuna Major
2049,77,1,Yes all right Go in
2060,78,3,Where did you come from?
2061,78,2,Me? I've been here all this time
2062,78,3,You boy Is your grandmother quite well?
2063,78,38,I think so
2064,78,10,I wouldn't be so sure of that Give me the cup Pity Broaden your minds Your aura is pulsing dear Are you in the beyond? I think you are
2065,78,38,Sure
2066,78,2,Look at the cup Tell me what you see
2077,79,5,Exactly how do we do that?
2078,79,12,Just stroke the spine of course Goodness me
2079,79,5,Don't be such a wimp Longbottom
2080,79,12,I'm okay Okay
2081,79,10,I think they're funny
2084,79,1,D-Dementor Dementor
2085,79,12,Just ignore him
2086,79,3,You're supposed to stroke it
2110,80,12,Listen to the idiot He's really laying it on thick isn't he?
2111,80,2,At least Hagrid didn't get fired
2112,80,1,Yeah but I heard Draco's father's furious We haven't heard the end of this
2113,80,3,He's been sighted He's been sighted
2114,80,29,Who?
2115,80,2,Sirius Black
2116,80,29,Dufftown? That's not far from here
2147,81,7,Those with permission follow me Those without stay put
2148,81,35,But professor I thought if you signed it then I could
2150,81,7,Forget about it guys See you later
2151,81,1,Professor can I ask you something?
2154,81,1,I'm very impressed That suggests what you fear the most is fear itself This is very wise
2155,81,11,Before I fainted I heard something A woman screaming
2161,82,1,Probably Neville forgotten the password again
2162,82,2,Hey
2163,82,10,Oh you're there
2165,82,37,The Fat Lady She's gone
2166,82,20,Serves her right She was a terrible singer
2167,82,2,It's not funny Ron
2168,82,3,Keep calm everyone Break into fours Back to your common room Be quiet
2169,82,37,Make way
2170,82,4,The headmaster's here
2171,82,37,Come on move
2172,82,4,You heard Move
2195,83,6,Excuse me sir Where's Professor Lupin?
2197,83,6,Werewolves?
2199,83,3,Quiet
2200,83,6,When did she come in? Did you see her come in?
2204,83,6,He's got a point you know
2206,83,6,Sir it's Quidditch tomorrow
2208,83,6,Go Harry Go Harry
2209,84,3,Arresto momentum
2210,84,4,He looks a bit peaky doesn't he?
2211,84,2,Peaky? What do you expect? He fell over 100 feet
2213,84,19,Probably a right sight better than he normally does
2214,84,1,How are you feeling?
2215,84,3,Oh brilliant
2232,85,35,Guys let me go
2233,85,1,Clever Harry
2234,85,14,But not clever enough Besides we've got a better way
2235,85,19,I'm trying to get to Hogsmeade
2238,85,19,Oh Bless him
2239,85,14,Let me go Come on guys Don't
2240,85,1,Now Harry
2276,86,126,It's meant to be the most haunted building in Britain Did I mention that?
2277,86,3,Twice
2278,86,2,Do you want to move a bit closer?
2279,86,3,To the Shrieking Shack?
2280,86,2,Actually I'm fine here
2294,87,3,Sure Along with his Invisibility Cloak
2295,87,2,Oh Look who it is Madam Rosmerta Ron fancies her
2296,87,3,That's not true
2297,87,2,Professor McGonagall
2298,87,17,Cornelius
2299,87,7,Allow me minister
2300,87,5,Oh Hagrid
2301,87,17,Sorry about that
2334,88,11,I'm sure
2337,88,11,Expecto Patronum
2338,88,1,Very good Shall we? Wand at the ready
2339,88,11,Expecto Patronum Expecto Expecto Expect
2341,88,11,That's one nasty dementor
2343,88,11,The first time I rode a broom
2344,88,1,That's not good enough Not nearly good enough
2372,89,2,You tell those spiders Ron
2373,89,1,Right yeah Tell them I'll tell them
2374,89,2,Peter Pettigrew?
2375,89,66,Little lump of a boy Always trailing after Sirius Black
2376,89,7,Black was vicious He didn't kill Pettigrew he destroyed him
2377,89,17,Put that light out
2378,89,137,Sorry
2414,90,2,Hang on We better take this back
2415,90,1,I'm not going back
2416,90,2,Fine See you later
2417,90,1,See you
2418,90,2,Harry Potter
2419,90,18,Professor Trelawney
2420,90,1,He will return tonight
2421,90,38,Sorry?
2425,91,3,It just got worse
2428,91,3,Hermione no He's not worth it
2429,91,2,Malfoy are you okay? Let's go Quick
2430,91,80,Not a word to anyone understood?
2431,91,12,That felt good
2432,91,3,Not good brilliant
2469,92,2,Ron Ron Ron
2470,92,3,Scabbers come back
2471,92,2,Wait
2472,92,1,Scabbers you bit me
2473,92,2,Harry you do realize what tree this is?
2474,92,3,That's not good Ron run
2475,92,1,Harry Hermione run It's the Grim Harry
2487,93,1,Ron You're okay The dog Where is it?
2488,93,3,Harry it's a trap He's the dog He's an Animagus
2489,93,2,If you want to kill Harry you'll have to kill us too
2490,93,3,No Only one will die tonight
2491,93,18,Then it'll be you
2492,93,1,Are you going to kill me Harry?
2511,94,18,Expelliarmus Vengeance is sweet How I hoped I'd be the one to catch you
2515,94,18,Give me a reason I beg you
2516,94,6,Severus don't be a fool
2518,94,18,Sirius be quiet
2519,94,11,Be quiet yourself Remus
2520,94,18,Oh listen to you two quarreling like an old married couple
2521,94,6,Why don't you run along and play with your chemistry set
2559,95,1,You better go
2560,95,2,No Don't worry okay? It's fine I'll stay
2564,95,2,That looks really painful
2565,95,3,So painful They might chop it
2566,95,2,I'm sure Madam Pomfrey will fix it in a heartbeat
2567,95,3,It's too late It's ruined It'll have to be chopped off
2571,95,44,Get away from her
2591,96,1,Harry?
2592,96,3,I saw my dad
2593,97,1,What?
2594,97,3,He sent the dementors away I saw him across the lake
2595,97,1,Listen Harry they've captured Sirius Any minute the dementors are going to perform the Kiss
2596,97,3,You mean they're gonna kill him?
2598,97,3,It's true Sirius is innocent
2599,97,1,It's Scabbers who did it
2600,97,2,Scabbers?
2601,97,4,He's my rat sir He's not really a rat He was a rat He was my brother Percy's rat But then they gave him an owl
2608,98,3,I don't know Going to Hagrid's?
2609,98,1,Come on And we can't be seen
2610,98,3,Hermione Hermione Hermione wait Hermione will you please tell me what it is we're doing?
2611,98,1,You foul loathsome evil little cockroach
2612,98,3,That's us
2613,98,1,Hermione no He's not worth it
2614,98,2,This is not normal
2629,99,3,Scabbers you're alive
2630,99,2,Keep a closer eye on your pet Ron
2631,99,5,That's Pettigrew
2632,99,1,Harry you can't
2633,99,3,He betrayed my parents You don't expect me to sit here
2635,99,3,Fudge is coming And we aren't leaving? Why aren't we leaving?
2636,99,3,Are you mad?
2687,100,3,Yeah Hermione?
2688,100,1,Yeah?
2691,100,3,It was my dad My dad conjured the Patronus
2692,100,1,Harry but your dad's Dead I know I'm just telling you what I saw
2693,100,3,Here we come
2694,100,3,You see Sirius talking to me there? He's asking me to come live with him
2695,100,1,That's great
2723,101,4,He's free We did it
2724,101,1,Did what? Good night
2725,101,4,How did you get there? I was talking to you there And now you're there
2726,101,2,What's he talking about Harry?
2727,101,3,I don't know Honestly Ron How can somebody be in two places at once?
2728,102,1,Hello Harry I saw you coming I've looked worse believe me
2729,102,11,You've been sacked
2730,102,1,No No I resigned actually
2731,102,11,Resigned? Why?
2739,103,2,Harry Wherever did you get it?
2740,103,10,Can I have a go Harry? After you of course
2741,103,29,What are you talking about?
2742,103,1,Quiet Let the man through I didn't mean to open it Harry It was badly wrapped They made me do it
2743,103,2,Did not
2744,103,14,Did not
2745,103,19,It's a Firebolt It's the fastest broom in the world
2746,103,127,For me? But who sent it?
2747,103,1,No one knows
2748,103,2,This came with it
2749,103,3,Go on Harry
2755,104,9,I will not disappoint you my lord
2756,104,89,Good First gather our old comrades Send them a sign
2757,104,9,Nagini tells me the old caretaker is standing outside the door
2758,104,9,Step aside so I can give our guest a proper greeting
2759,104,9,Harry
2760,105,3,Are you alright?
2761,105,3,Hermione Bad dream When did you get here?
2762,105,1,Just now You?
2763,105,3,Last night
2764,105,1,Wake up Wake up Ronald
2765,105,3,Bloody hell
2804,106,2,Well put it this way if it rains you'll be the first to know
2805,106,23,Father and I are in the minister's box by personal invitation of Cornelius Fudge himself
